iter	Passed	Remaining
0	146	146507
1	147	73609
2	148	49245
3	148	37052
4	149	29733
5	150	24860
6	150	21380
7	151	18776
8	152	16765
9	152	15140
10	153	13810
11	154	12754
12	155	11817
13	156	11008
14	156	10300
15	157	9682
16	158	9136
17	158	8651
18	159	8222
19	159	7837
20	160	7495
21	161	7180
22	162	6891
23	162	6627
24	163	6380
25	164	6157
26	165	5947
27	165	5752
28	166	5571
29	167	5405
30	167	5247
31	168	5097
32	169	4958
33	169	4825
34	170	4700
35	171	4581
36	171	4470
37	172	4364
38	173	4264
39	173	4169
40	174	4080
41	175	3992
42	175	3910
43	176	3831
44	176	3755
45	177	3683
46	178	3613
47	178	3546
48	179	3481
49	180	3420
50	180	3363
51	181	3312
52	182	3258
53	182	3205
54	183	3155
55	184	3107
56	184	3060
57	185	3015
58	186	2971
59	187	2929
60	187	2889
61	188	2850
62	189	2813
63	189	2776
64	190	2740
65	191	2705
66	191	2671
67	192	2638
68	193	2606
69	193	2573
70	194	2542
71	195	2513
72	195	2484
73	196	2457
74	196	2429
75	197	2402
76	198	2376
77	198	2350
78	199	2325
79	200	2300
80	200	2276
81	201	2253
82	201	2227
83	202	2206
84	202	2184
85	203	2163
86	204	2142
87	204	2121
88	205	2101
89	205	2081
90	206	2063
91	207	2044
92	207	2026
93	208	2009
94	209	1992
95	209	1976
96	210	1959
97	211	1943
98	211	1928
99	212	1912
100	213	1896
101	213	1881
102	214	1866
103	215	1852
104	215	1837
105	216	1823
106	216	1810
107	217	1796
108	218	1782
109	218	1769
110	219	1756
111	219	1743
112	220	1731
113	221	1718
114	221	1706
115	222	1694
116	222	1681
117	223	1670
118	224	1658
119	224	1647
120	225	1636
121	225	1624
122	226	1614
123	227	1603
124	227	1593
125	228	1583
126	228	1572
127	229	1562
128	230	1553
129	230	1543
130	231	1534
131	231	1524
132	232	1515
133	233	1506
134	233	1497
135	234	1488
136	234	1479
137	235	1470
138	236	1462
139	236	1453
140	237	1445
141	237	1435
142	238	1427
143	238	1419
144	239	1411
145	240	1404
146	240	1397
147	241	1389
148	241	1381
149	242	1374
150	243	1367
151	243	1360
152	244	1354
153	245	1346
154	245	1340
155	246	1333
156	247	1326
157	247	1319
158	248	1312
159	248	1306
160	249	1298
161	249	1292
162	250	1285
163	251	1279
164	251	1273
165	252	1267
166	252	1260
167	253	1254
168	253	1248
169	254	1242
170	255	1236
171	255	1231
172	256	1225
173	256	1219
174	257	1214
175	258	1208
176	258	1202
177	259	1197
178	259	1191
179	260	1186
180	261	1181
181	261	1175
182	262	1170
183	262	1165
184	263	1160
185	263	1155
186	264	1151
187	265	1146
188	266	1142
189	266	1137
190	267	1133
191	268	1128
192	268	1123
193	269	1118
194	269	1114
195	270	1109
196	271	1104
197	271	1100
198	272	1096
199	272	1091
200	273	1087
201	274	1082
202	274	1078
203	275	1074
204	275	1069
205	276	1065
206	277	1061
207	277	1057
208	278	1053
209	278	1049
210	279	1045
211	280	1041
212	280	1037
213	281	1033
214	282	1030
215	282	1026
216	283	1022
217	283	1018
218	284	1015
219	285	1011
220	285	1007
221	286	1004
222	287	1000
223	287	996
224	288	993
225	289	989
226	289	986
227	290	983
228	291	979
229	291	976
230	292	973
231	292	969
232	293	966
233	294	962
234	294	959
235	295	955
236	295	952
237	296	949
238	297	945
239	297	942
240	298	939
241	298	936
242	299	933
243	300	929
244	300	926
245	301	923
246	301	920
247	302	917
248	303	914
249	303	911
250	304	908
251	304	904
252	305	902
253	306	898
254	306	895
255	307	892
256	308	891
257	309	888
258	309	886
259	310	883
260	310	880
261	311	877
262	312	874
263	312	871
264	313	869
265	313	866
266	314	863
267	315	860
268	315	857
269	316	855
270	316	852
271	317	849
272	318	847
273	318	844
274	319	841
275	319	838
276	320	836
277	321	833
278	321	831
279	322	828
280	322	825
281	323	823
282	323	820
283	324	818
284	325	815
285	325	813
286	326	810
287	326	808
288	327	805
289	328	803
290	328	800
291	329	798
292	329	795
293	330	793
294	331	791
295	331	788
296	332	786
297	332	784
298	333	782
299	334	779
300	334	777
301	335	775
302	336	773
303	336	770
304	337	768
305	337	766
306	338	764
307	339	761
308	339	759
309	340	757
310	340	755
311	341	753
312	342	750
313	342	748
314	343	746
315	344	744
316	344	742
317	345	741
318	346	738
319	346	737
320	347	735
321	348	733
322	348	730
323	349	728
324	349	726
325	350	724
326	351	722
327	351	720
328	352	718
329	353	716
330	353	714
331	354	712
332	354	710
333	355	708
334	356	706
335	356	705
336	357	703
337	358	701
338	359	700
339	359	698
340	360	696
341	360	694
342	361	692
343	362	690
344	362	688
345	363	686
346	363	684
347	364	682
348	365	681
349	365	679
350	366	677
351	366	675
352	367	673
353	368	671
354	368	669
355	369	668
356	369	666
357	370	664
358	371	662
359	371	660
360	372	659
361	373	657
362	373	655
363	374	654
364	375	652
365	375	651
366	376	649
367	377	647
368	377	645
369	378	644
370	378	642
371	379	640
372	380	638
373	380	637
374	381	635
375	381	633
376	382	632
377	383	630
378	383	628
379	384	626
380	384	625
381	385	623
382	386	621
383	386	620
384	387	618
385	387	617
386	388	615
387	389	613
388	389	611
389	390	610
390	390	608
391	391	607
392	392	605
393	392	603
394	393	602
395	393	600
396	394	598
397	394	597
398	395	595
399	396	594
400	397	593
401	397	591
402	398	589
403	398	588
404	399	586
405	400	585
406	400	583
407	401	582
408	401	580
409	402	579
410	403	577
411	403	576
412	404	574
413	404	572
414	405	571
415	405	569
416	406	568
417	407	567
418	407	565
419	408	564
420	409	562
421	409	561
422	410	559
423	411	558
424	411	557
425	412	555
426	413	554
427	413	552
428	414	551
429	415	550
430	415	549
431	416	547
432	417	546
433	417	545
434	418	543
435	419	542
436	419	541
437	420	539
438	421	538
439	422	537
440	422	535
441	423	534
442	424	533
443	424	531
444	425	530
445	425	528
446	426	527
447	427	526
448	427	524
449	428	523
450	428	522
451	429	520
452	430	519
453	430	518
454	431	516
455	432	515
456	432	514
457	433	512
458	434	511
459	434	510
460	435	508
461	435	507
462	436	506
463	437	504
464	437	503
465	438	502
466	439	501
467	439	499
468	440	498
469	441	497
470	441	496
471	442	495
472	443	493
473	443	492
474	444	491
475	444	489
476	445	488
477	446	487
478	446	485
479	447	484
480	447	483
481	448	482
482	449	480
483	449	479
484	450	478
485	451	477
486	451	475
487	452	474
488	452	473
489	453	472
490	454	470
491	454	469
492	455	468
493	456	467
494	456	466
495	457	464
496	457	463
497	458	462
498	459	460
499	459	459
500	460	458
501	461	457
502	461	456
503	462	455
504	463	454
505	463	452
506	464	451
507	465	450
508	465	449
509	466	447
510	466	446
511	467	445
512	468	444
513	468	443
514	469	441
515	469	440
516	470	439
517	471	438
518	472	437
519	472	436
520	473	435
521	473	433
522	474	432
523	475	431
524	475	430
525	476	429
526	477	428
527	477	427
528	478	426
529	479	424
530	479	423
531	480	422
532	480	421
533	481	420
534	482	419
535	482	417
536	483	416
537	483	415
538	484	414
539	485	413
540	485	412
541	486	411
542	487	410
543	487	408
544	488	407
545	489	406
546	489	405
547	490	404
548	491	403
549	491	402
550	492	401
551	493	400
552	493	399
553	494	398
554	495	396
555	495	395
556	496	394
557	497	393
558	497	392
559	498	391
560	499	390
561	499	389
562	500	388
563	501	387
564	501	386
565	502	385
566	503	384
567	503	383
568	504	381
569	504	380
570	505	379
571	506	378
572	506	377
573	507	376
574	508	375
575	508	374
576	509	373
577	509	372
578	510	371
579	511	370
580	512	369
581	513	369
582	514	368
583	515	366
584	515	365
585	516	364
586	517	363
587	517	362
588	518	361
589	519	360
590	519	359
591	520	358
592	521	357
593	521	356
594	522	355
595	523	354
596	523	353
597	524	352
598	524	351
599	525	350
600	526	349
601	526	348
602	527	347
603	527	346
604	528	345
605	529	343
606	529	342
607	530	341
608	530	340
609	531	339
610	531	338
611	532	337
612	533	336
613	533	335
614	534	334
615	534	333
616	535	332
617	536	331
618	536	330
619	537	329
620	537	328
621	538	327
622	538	326
623	539	325
624	540	324
625	540	323
626	541	322
627	542	321
628	542	320
629	543	319
630	543	318
631	544	317
632	545	316
633	545	315
634	546	314
635	546	312
636	547	311
637	548	311
638	548	309
639	549	309
640	550	308
641	550	307
642	551	306
643	551	305
644	552	304
645	553	303
646	553	302
647	554	301
648	555	300
649	555	299
650	556	298
651	557	297
652	557	296
653	558	295
654	559	294
655	559	293
656	560	292
657	560	291
658	561	290
659	562	289
660	562	288
661	563	287
662	564	286
663	564	285
664	565	284
665	566	283
666	566	282
667	567	281
668	568	281
669	568	280
670	569	279
671	570	278
672	570	277
673	571	276
674	572	275
675	572	274
676	573	273
677	574	272
678	574	271
679	575	270
680	576	269
681	576	268
682	577	267
683	577	266
684	578	265
685	579	265
686	579	264
687	580	263
688	580	262
689	581	261
690	582	260
691	582	259
692	583	258
693	584	257
694	584	256
695	585	255
696	585	254
697	586	253
698	587	252
699	587	251
700	588	251
701	589	250
702	589	249
703	590	248
704	591	247
705	591	246
706	592	245
707	592	244
708	593	243
709	594	242
710	595	241
711	595	240
712	596	240
713	596	239
714	597	238
715	598	237
716	598	236
717	599	235
718	600	234
719	600	233
720	601	232
721	601	231
722	602	230
723	603	229
724	603	228
725	604	228
726	604	227
727	605	226
728	606	225
729	606	224
730	607	223
731	607	222
732	608	221
733	609	220
734	609	219
735	610	218
736	611	218
737	611	217
738	612	216
739	613	215
740	613	214
741	614	213
742	614	212
743	615	211
744	616	210
745	617	210
746	617	209
747	618	208
748	619	207
749	619	206
750	620	205
751	621	204
752	621	203
753	622	202
754	622	202
755	623	201
756	623	200
757	624	199
758	625	198
759	626	197
760	626	196
761	627	195
762	627	195
763	628	194
764	629	193
765	629	192
766	630	191
767	630	190
768	631	189
769	632	188
770	632	187
771	633	187
772	633	186
773	634	185
774	635	184
775	635	183
776	636	182
777	636	181
778	637	180
779	638	180
780	638	179
781	639	178
782	640	177
783	640	176
784	641	175
785	642	174
786	642	173
787	643	173
788	643	172
789	644	171
790	645	170
791	645	169
792	646	168
793	646	167
794	647	166
795	648	166
796	648	165
797	649	164
798	649	163
799	650	162
800	651	161
801	651	160
802	652	160
803	653	159
804	653	158
805	654	157
806	655	156
807	655	155
808	656	154
809	656	154
810	657	153
811	658	152
812	658	151
813	659	150
814	659	149
815	660	148
816	661	148
817	661	147
818	662	146
819	663	145
820	663	144
821	664	143
822	665	143
823	665	142
824	666	141
825	666	140
826	667	139
827	668	138
828	669	137
829	669	137
830	670	136
831	670	135
832	671	134
833	672	133
834	672	132
835	673	132
836	673	131
837	674	130
838	675	129
839	675	128
840	676	127
841	676	127
842	677	126
843	678	125
844	679	124
845	679	123
846	680	122
847	681	122
848	681	121
849	682	120
850	683	119
851	683	118
852	684	117
853	684	117
854	685	116
855	686	115
856	686	114
857	687	113
858	688	112
859	688	112
860	689	111
861	689	110
862	690	109
863	691	108
864	691	107
865	692	107
866	692	106
867	693	105
868	694	104
869	694	103
870	695	102
871	695	102
872	696	101
873	697	100
874	697	99
875	698	98
876	698	98
877	699	97
878	700	96
879	700	95
880	701	94
881	701	93
882	702	93
883	703	92
884	703	91
885	704	90
886	705	89
887	705	89
888	706	88
889	706	87
890	707	86
891	708	85
892	708	84
893	709	84
894	710	83
895	710	82
896	711	81
897	712	80
898	712	80
899	713	79
900	713	78
901	714	77
902	715	76
903	715	76
904	716	75
905	716	74
906	717	73
907	718	72
908	719	71
909	719	71
910	720	70
911	720	69
912	721	68
913	722	67
914	722	67
915	723	66
916	723	65
917	724	64
918	725	63
919	725	63
920	726	62
921	727	61
922	727	60
923	728	59
924	729	59
925	729	58
926	730	57
927	730	56
928	731	55
929	732	55
930	732	54
931	733	53
932	734	52
933	734	51
934	735	51
935	735	50
936	736	49
937	737	48
938	737	47
939	738	47
940	738	46
941	739	45
942	740	44
943	740	43
944	741	43
945	741	42
946	742	41
947	743	40
948	743	39
949	744	39
950	744	38
951	745	37
952	746	36
953	746	36
954	747	35
955	747	34
956	748	33
957	749	32
958	749	32
959	750	31
960	751	30
961	751	29
962	752	28
963	752	28
964	753	27
965	754	26
966	754	25
967	755	24
968	756	24
969	756	23
970	757	22
971	757	21
972	758	21
973	759	20
974	759	19
975	760	18
976	761	17
